 iteration = 577   ABB_IRB_6400
 iteration = 3144  AlpRider
 iteration = 157   BangBangDH
 iteration = 23    BangBangF
 iteration = 81    BangBangFclip
 iteration = 5     BangBangFmodule
 iteration = 9     BangBangFredundant
 iteration = 42    BangBangFtau
 iteration = 8     BangBangFtmin
 iteration = 7     BangBangFwork
 iteration = 7     BertolazziCorsoExample1
 iteration = -1    BertolazziPenalty
 iteration = 69    Bike1D
 iteration = 17    BikeSteering
 iteration = -1    Bocop_DualTankBioReactor
 iteration = 16    Bocop_InvertedPendulum
 iteration = 35    Bocop_Jackson
 iteration = 214   Bocop_SecondOrderSingularRegulator
 iteration = 469   Brachiostocrona
 iteration = 17    Brachiostocrona2
 iteration = -1    Brake
 iteration = 37    BrysonDenham
 iteration = 285   CNOC
 iteration = 55    Chachuat3_44
 iteration = 22    CristianiMartinon
 iteration = 284   Crossroad
 iteration = 2     Dadebo1
 iteration = 113   DenbighSystemReactions
 iteration = 6     Dido
 iteration = 37    DielectrophoresisParticleControl
 iteration = 44    Dubins
 iteration = 256   DubinsSmooth
 iteration = -1    DynamicSoaring
 iteration = 205   EconomicGrowthModel
 iteration = 107   EconomicGrowthModel2
 iteration = 4     Farmer
 iteration = 19    FlowInAchannel
 iteration = 527   ForwardBackward
 iteration = 67    FreeFlyingRobot
 iteration = -1    GerdtsKunkel
 iteration = 135   GoddardRocket
 iteration = 12    Gong
 iteration = 16    GunnAndThomas
 iteration = 1     Hager_2000
 iteration = 55    HangGlider
 iteration = 108   HangingChain
 iteration = 6     HyperSensitive
 iteration = 53    HypersonicProblem3DOF
 iteration = 133   ICLOCS2_AlyChan
 iteration = -1    ICLOCS2_BatchFermentor_WORKING_ON
 iteration = -1    ICLOCS2_ParallelParking_WORKING_ON
 iteration = 39    ICLOCS_Catalyst
 iteration = 8     ICLOCS_ContinuousMP
 iteration = 117   ICLOCS_MinimumFuelOrbitRaising
 iteration = 181   ICLOCS_PathConstrained
 iteration = 79    ICLOCS_SingularArc
 iteration = 35    ICLOCS_Speyer
 iteration = -1    ICLOCS_StirredTank
 iteration = 62    ICLOCS_TwoLinkRobotArm
 iteration = -1    LUUS_DrugDisplacement
 iteration = 353   LUUS_Singular02
 iteration = 89    LUUS_Singular03
 iteration = 311   LUUS_Singular04
 iteration = 371   MicroSwimmer
 iteration = -1    MinimumEnergyProblem
 iteration = -1    MultipleDubins
 iteration = -1    PointMassCarModel_1
 iteration = 197   PointMassCarModel_2
 iteration = 103   PointMassCarModel_3
 iteration = 102   PointMassCarModel_4
 iteration = -1    PointMassCarModel_5
 iteration = -1    Point_mass_GGV_map
 iteration = -1    Pugliese
 iteration = 22    ROSS_Ball_Mizel
 iteration = -1    ROSS_Fuller
 iteration = 7     Rayleight
 iteration = 38    RobotArm
 iteration = 10    SingularCalogero
 iteration = 65    SingularCalogeroModified
 iteration = -1    SingularConstrainedCalogero
 iteration = -1    SingularLuus04_FreeTime
 iteration = 108   SingularMarchal
 iteration = 31    SlidingMode
 iteration = -1    Smith-model-with-MF96
 iteration = -1    SoundingRocket
 iteration = -1    StirredTank
 iteration = -1    Topputo
 iteration = 97    Train
 iteration = 39    TwoPhaseSchwartz
 iteration = 4     TwoStageCSTR
 iteration = 326   Tyre_Dynamic_1D_1
 iteration = 212   Tyre_Dynamic_1D_2
 iteration = 225   Tyre_Dynamic_1D_3
 iteration = 136   Tyre_Dynamic_1D_4
 iteration = 156   Tyre_Dynamic_1D_5
 iteration = -1    Tyre_Dynamic_1D_6
 iteration = 613   Underwater
 iteration = 3     WorstCaseScenario
 iteration = -1    Zermelo
 iteration = 18    gtocX_2burn
 iteration = 18    gtocX_2burn_pars
 iteration = 7     identification_acado
 iteration = 66    vanDerPol
 iteration = 931   wheel_slip_dynamics_with_actuator
